,name,num
224,工程重大安全事故罪 ,21
225,洗钱罪 ,21
226,医疗事故罪 ,20
227,非法出售增值税专用发票罪 ,20
228,违法发放林木采伐许可证罪 ,20
229,过失损坏电力设备罪 ,19
230,消防责任事故罪 ,19
231,投放虚假危险物质罪 ,18
232,故意损毁文物罪 ,18
233,销售侵权复制品罪 ,18
234,劫持船只、汽车罪 ,17
235,内幕交易、泄露内幕信息罪 ,17
236,破坏武器装备、军事设施、军事通信罪 ,17
237,非法生产、买卖、运输制毒物品、走私制毒物品罪 ,16
238,煽动民族仇恨、民族歧视罪 ,16
239,出具证明文件重大失实罪 ,15
240,组织未成年人进行违反治安管理活动罪 ,15
241,伪造、盗窃、买卖、非法提供、非法使用武装部队专用标志罪 ,14
242,出售出入境证件罪 ,14
243,民事、行政枉法裁判罪 ,14
244,生产、销售不符合标准的医用器材罪 ,13
245,扰乱国家机关工作秩序罪 ,13
246,非法侵入计算机信息系统罪 ,13
247,刑讯逼供罪 ,13
248,妨害动植物防疫、检疫罪 ,13
249,聚众淫乱罪 ,13
250,执行判决、裁定滥用职权罪 ,13
251,走私贵重金属罪 ,12
252,过失爆炸罪 ,12
253,非法批准征收、征用、占用土地罪 ,11
254,破坏军婚罪 ,11
255,教育设施重大安全事故罪 ,11
256,非法出售、提供试题、答案罪 ,10
257,劫夺被押解人员罪 ,10
258,逃避追缴欠税罪 ,10
259,虚假广告罪 ,10
260,有价证券诈骗罪 ,10
261,走私制毒物品罪 ,10
262,对违法票据承兑、付款、保证罪 ,10
263,组织出卖人体器官罪 ,10
264,损害商业信誉、商品声誉罪 ,10
265,信用证诈骗罪 ,10
266,违规出具金融票证罪 ,10
267,危害公共安全罪 ,9
268,吸收客户资金不入账罪 ,9
269,私放在押人员罪 ,9
270,利用未公开信息交易罪 ,8
271,提供伪造、变造的出入境证件罪 ,8
272,非法生产、买卖武装部队制式服装罪 ,8
273,过失损毁文物罪 ,8
274,盗掘古人类化石、古脊椎动物化石罪 ,8
275,执行判决、裁定失职罪 ,8
276,组织、利用会道门、邪教组织、利用迷信致人重伤、死亡罪 ,7
277,放纵走私罪 ,7
278,不报、谎报安全事故罪 ,7
279,徇私舞弊发售发票、抵扣税款、出口退税罪 ,7
280,抢劫枪支、弹药、爆炸物、危险物质罪 ,6
281,非法搜查罪 ,6
282,非法经营同类营业罪 ,6
283,失职造成珍贵文物损毁、流失罪 ,6
284,擅自设立金融机构罪 ,6
285,放纵制售伪劣商品犯罪行为罪 ,5
286,变造货币罪 ,5
287,过失损坏易燃易爆设备罪 ,5
288,擅自出卖、转让国有档案罪 ,5
289,虐待被监护、看护人罪 ,5
290,非法利用信息网络罪 ,5
291,为亲友非法牟利罪 ,5
292,破坏选举罪 ,5
293,帮助信息网络犯罪活动罪 ,4
294,非法制造、出售非法制造的用于骗取出口退税、抵扣税款发票罪 ,4
295,组织残疾人、儿童乞讨罪 ,4
296,擅自发行股票、公司、企业债券罪 ,4
297,非法处置进口的固体废物罪 ,4
298,辩护人、诉讼代理人毁灭证据、伪造证据、妨害作证罪 ,4
299,非法低价出让国有土地使用权罪 ,4
300,引诱幼女卖淫罪 ,4
301,操纵证券、期货市场罪 ,4
302,煽动分裂国家罪 ,4
303,走私淫秽物品罪 ,4
304,强令违章冒险作业罪 ,4
305,阻碍军人执行职务罪 ,4
306,伪造、变造国家有价证券罪 ,4
307,假冒专利罪 ,3
308,签订、履行合同失职被骗罪 ,3
309,骗购外汇罪 ,3
310,侮辱国旗、国徽罪 ,3
311,包庇、纵容黑社会性质组织罪 ,3
312,组织越狱罪 ,3
313,对有影响力的人行贿罪 ,3
314,非法出售用于骗取出口退税、抵扣税款发票罪 ,3
315,暴力取证罪 ,2
316,编造、故意传播虚假信息罪 ,2
317,阻碍军事行动罪 ,2
318,煽动颠覆国家政权罪 ,2
319,侵犯通信自由罪 ,2
320,聚众扰乱军事管理区秩序罪 ,2
321,煽动暴力抗拒法律实施罪 ,2
322,抢夺、窃取国有档案罪 ,2
323,组织、领导、参加恐怖组织罪 ,2
324,传染病防治失职罪 ,2
325,宣扬恐怖主义、极端主义、煽动实施恐怖活动罪 ,2
326,妨害清算罪 ,2
327,为境外窃取、刺探、收买、非法提供国家秘密、情报罪 ,2
328,颠覆国家政权罪 ,2
329,过失决水罪 ,2
330,引诱未成年人聚众淫乱罪 ,2
331,过失损坏交通设施罪 ,2
332,私自开拆、隐匿、毁弃邮件、电报罪 ,1
333,生产、销售伪劣商品罪 ,1
334,生产、销售不符合卫生标准的化妆品罪 ,1
335,嫖宿幼女罪 ,1
336,扰乱公共秩序罪 ,1
337,盗窃、抢夺枪支、弹药、爆炸物罪 ,1
338,伪造、变造、转让金融机构经营许可证、批准文件罪 ,1
339,破坏性采矿罪 ,1
340,逃汇罪 ,1
341,商检失职罪 ,1
342,大型群众性活动重大安全事故罪 ,1
343,铁路运营安全事故罪 ,1
344,隐瞒境外存款罪 ,1
345,雇用童工从事危重劳动罪 ,1
346,组织、资助非法聚集罪 ,1
347,过失泄露国家秘密罪 ,1
348,滥用管理公司、证券职权罪 ,1
349,办理偷越国（边）境人员出入境证件罪 ,1
350,非法持有宣扬恐怖主义、极端主义物品罪 ,1
351,非法持有国家绝密、机密文件、资料、物品罪 ,1
352,强迫卖血罪 ,1
353,渎职罪 ,1
354,国家机关工作人员签订、履行合同失职被骗罪 ,1
355,组织播放淫秽音像制品罪 ,1
356,商检徇私舞弊罪 ,1
357,走私假币罪 ,1
